It Just Works,"['The Chalkeaters', 'Sergei Gumba']",It Just Works,None,4:39,https://lh3.googleusercontent.com/82cHYBXTATEa5X_nLZw-EgAfiiHwydyUpagHfdLlQ49mBMbu_qU1MfLi5pf_t_lP_Iyc3Gm0kTH693Tyng=w544-h544-l90-rj,https://music.youtube.com/watch?v=zRXl8Ow2bUs,"['The Chalkeaters', 'Sergei Gumba', 'It Just Works']"
The Most Fashionable Faction (feat. Harry Callaghan),"['The Stupendium', 'Harry Callaghan']",The Most Fashionable Faction (Team Fortress 2 Song),None,5:05,https://lh3.googleusercontent.com/SydR18j5Zv7EPEbZ0m3ZGxsQY7vGU1olaBX-NBrpEBpg0nJZxeuByx9cW8b1DwOSB-HZD6BqrgfCslgyJg=w544-h544-l90-rj,https://music.youtube.com/watch?v=_smJSUKPXQQ,"['The Stupendium', 'Harry Callaghan', 'The Most Fashionable Faction (Team Fortress 2 Song)', 'The Most Fashionable Faction (feat. Harry Callaghan)']"
EZ4ENCE (kannatuslaulu),['The Verkkars'],EZ4ENCE (kannatuslaulu),2019,2:34,https://lh3.googleusercontent.com/bMVU2eboRqEBGMLnLpg_kKIB59Ya3r4_GXNfSjI-Id9DG4ByvYfS7DlpOGA90UYIhgWEF0RjZo-wknLeVw=w544-h544-l90-rj,https://music.youtube.com/watch?v=qemNTh_1yFo,"['The Verkkars', 'EZ4ENCE (kannatuslaulu)']"
Flashbang dance (feat. n0thing),"['The Verkkars', 'n0thing']",Flashbang dance (feat. n0thing),2021,2:40,https://lh3.googleusercontent.com/EnLSCGSg-rD9qNLrL6F9GmfevlrEFteo0yliVIHL5YomoM1mWk3WidL3g7lX_6EqndxWhfQ-JSKvvGCk=w544-h544-l90-rj,https://music.youtube.com/watch?v=B6viHjhVPxM,"['The Verkkars', 'n0thing', 'Flashbang dance (feat. n0thing)']"
Last Surprise,"['Lyn', 'Benjamin Franklin', '目黒将司', '目黒将司']",PERSONA5 ORIGINAL SOUNDTRACK,None,3:56,https://lh3.googleusercontent.com/HBLKN_VK9Xw3u9w8IZWh1xsVyncs4c1lgO9JUZoz1LRV1ZxGlvqatiZOiUImZi_JZ7f8BIJ3w5QR1QE=w544-h544-s-l90-rj,https://music.youtube.com/watch?v=ZNGqBDRJgvo,"['Lyn', 'Benjamin Franklin', '目黒将司', 'PERSONA5 ORIGINAL SOUNDTRACK', 'Last Surprise']"
Life Will Change,"['Lyn', 'Benjamin Franklin', '目黒将司', '目黒将司']",PERSONA5 ORIGINAL SOUNDTRACK,None,4:22,https://lh3.googleusercontent.com/HBLKN_VK9Xw3u9w8IZWh1xsVyncs4c1lgO9JUZoz1LRV1ZxGlvqatiZOiUImZi_JZ7f8BIJ3w5QR1QE=w544-h544-s-l90-rj,https://music.youtube.com/watch?v=dsuJZx24V_A,"['Lyn', 'Benjamin Franklin', '目黒将司', 'PERSONA5 ORIGINAL SOUNDTRACK', 'Life Will Change']"
Last Surprise -Scramble-,"['Lyn', 'Benjamin Franklin', 'アトラスサウンドチーム', 'コーエーテクモサウンド']",『ペルソナ５ スクランブル　ザ ファントム ストライカーズ』 オリジナル・サウンドトラック,None,4:07,https://lh3.googleusercontent.com/G7KwlHsuLowMQBW9qQWSnWKT8Wzr0oIb2rfB3xaYP8i6yKQ_8M5yFafUbSCMqEOrPQ0kO_8Mj7Kh_ULi5w=w544-h544-s-l90-rj,https://music.youtube.com/watch?v=cS_CPy7YcaA,"['Lyn', 'Benjamin Franklin', 'アトラスサウンドチーム', 'コーエーテクモサウンド', '『ペルソナ５ スクランブル ザ ファントム ストライカーズ』 オリジナル・サウンドトラック', 'Last Surprise -Scramble-']"
Up With Titles,['Michael Giacchino'],Up,2009,53,https://lh3.googleusercontent.com/XN_TYxbrxokSd8Ez_Ty2HWMQOq0l3WULBcZ4MVHBErn_skOYTIN3IpW0jmiGQGTFcBFJTZusnXbN0iz8wg=w544-h544-l90-rj,https://music.youtube.com/watch?v=rPszGZ9GgVQ,"['Michael Giacchino', 'マイケルジアッキーノ', 'マイケル・ジアッキーノ', 'Майкл Джаккино', 'Up', 'Up With Titles']"
We're In the Club Now,['Michael Giacchino'],Up,2009,43,https://lh3.googleusercontent.com/XN_TYxbrxokSd8Ez_Ty2HWMQOq0l3WULBcZ4MVHBErn_skOYTIN3IpW0jmiGQGTFcBFJTZusnXbN0iz8wg=w544-h544-l90-rj,https://music.youtube.com/watch?v=GyNQavZU9kE,"['Michael Giacchino', 'マイケルジアッキーノ', 'マイケル・ジアッキーノ', 'Майкл Джаккино', 'Up', ""We're In the Club Now""]"
Married Life,['Michael Giacchino'],Up,2009,4:11,https://lh3.googleusercontent.com/XN_TYxbrxokSd8Ez_Ty2HWMQOq0l3WULBcZ4MVHBErn_skOYTIN3IpW0jmiGQGTFcBFJTZusnXbN0iz8wg=w544-h544-l90-rj,https://music.youtube.com/watch?v=2rn-vMbFglI,"['Michael Giacchino', 'マイケルジアッキーノ', 'マイケル・ジアッキーノ', 'Майкл Джаккино', 'Up', 'Married Life']"
